--- ddscat calc for FROM_FILE ---
83645
1.000   0.000   0.000
1.000   1.000   0.000
1.      1.      1.   
0.0   0.0   0.0
J     JX      JY      JZ    ICOMPX    ICOMPY   ICOMPZ
513    -6    -5    -18    1      1      1
514    -5    -5    -18    1      1      1
515    -4    -5    -18    1      1      1
516    -3    -5    -18    1      1      1
517    -2    -5    -18    1      1      1
518    -1    -5    -18    1      1      1
519    0    -5    -18    1      1      1
520    1    -5    -18    1      1      1
521    2    -5    -18    1      1      1
522    3    -5    -18    1      1      1
523    4    -5    -18    1      1      1
524    5    -5    -18    1      1      1
525    6    -5    -18    1      1      1
526    7    -5    -18    1      1      1
527    8    -5    -18    1      1      1
528    -8    -4    -18    1      1      1
529    -7    -4    -18    1      1      1
530    -6    -4    -18    1      1      1
531    -5    -4    -18    1      1      1
532    -4    -4    -18    1      1      1
533    -3    -4    -18    1      1      1
534    -2    -4    -18    1      1      1
535    -1    -4    -18    1      1      1
536    0    -4    -18    1      1      1
537    1    -4    -18    1      1      1
538    2    -4    -18    1      1      1
539    3    -4    -18    1      1      1
540    4    -4    -18    1      1      1
541    5    -4    -18    1      1      1
542    6    -4    -18    1      1      1
543    7    -4    -18    1      1      1
544    8    -4    -18    1      1      1
545    -8    -3    -18    1      1      1
546    -7    -3    -18    1      1      1
547    -6    -3    -18    1      1      1
548    -5    -3    -18    1      1      1
549    -4    -3    -18    1      1      1
550    -3    -3    -18    1      1      1
551    -2    -3    -18    1      1      1
552    -1    -3    -18    1      1      1
553    0    -3    -18    1      1      1
554    1    -3    -18    1      1      1
555    2    -3    -18    1      1      1
556    3    -3    -18    1      1      1
557    4    -3    -18    1      1      1
558    5    -3    -18    1      1      1
559    6    -3    -18    1      1      1
560    7    -3    -18    1      1      1
561    8    -3    -18    1      1      1
562    -8    -2    -18    1      1      1
563    -7    -2    -18    1      1      1
564    -6    -2    -18    1      1      1
565    -5    -2    -18    1      1      1
566    -4    -2    -18    1      1      1
567    -3    -2    -18    1      1      1
568    -2    -2    -18    1      1      1
569    -1    -2    -18    1      1      1
570    0    -2    -18    1      1      1
571    1    -2    -18    1      1      1
572    2    -2    -18    1      1      1
573    3    -2    -18    1      1      1
574    4    -2    -18    1      1      1
575    5    -2    -18    1      1      1
576    6    -2    -18    1      1      1
577    7    -2    -18    1      1      1
578    8    -2    -18    1      1      1
579    -8    -1    -18    1      1      1
580    -7    -1    -18    1      1      1
581    -6    -1    -18    1      1      1
582    -5    -1    -18    1      1      1
583    -4    -1    -18    1      1      1
584    -3    -1    -18    1      1      1
585    -2    -1    -18    1      1      1
586    -1    -1    -18    1      1      1
587    0    -1    -18    1      1      1
588    1    -1    -18    1      1      1
589    2    -1    -18    1      1      1
590    3    -1    -18    1      1      1
591    4    -1    -18    1      1      1
592    5    -1    -18    1      1      1
593    6    -1    -18    1      1      1
594    7    -1    -18    1      1      1
595    8    -1    -18    1      1      1
596    -8    0    -18    1      1      1
597    -7    0    -18    1      1      1
598    -6    0    -18    1      1      1
599    -5    0    -18    1      1      1
600    -4    0    -18    1      1      1
601    -3    0    -18    1      1      1
602    -2    0    -18    1      1      1
603    -1    0    -18    1      1      1
604    0    0    -18    1      1      1
605    1    0    -18    1      1      1
606    2    0    -18    1      1      1
607    3    0    -18    1      1      1
608    4    0    -18    1      1      1
609    5    0    -18    1      1      1
610    6    0    -18    1      1      1
611    7    0    -18    1      1      1
612    8    0    -18    1      1      1
613    -8    1    -18    1      1      1
614    -7    1    -18    1      1      1
615    -6    1    -18    1      1      1
616    -5    1    -18    1      1      1
617    -4    1    -18    1      1      1
618    -3    1    -18    1      1      1
619    -2    1    -18    1      1      1
620    -1    1    -18    1      1      1
621    0    1    -18    1      1      1
622    1    1    -18    1      1      1
623    2    1    -18    1      1      1
624    3    1    -18    1      1      1
625    4    1    -18    1      1      1
626    5    1    -18    1      1      1
627    6    1    -18    1      1      1
628    7    1    -18    1      1      1
629    8    1    -18    1      1      1
630    -8    2    -18    1      1      1
631    -7    2    -18    1      1      1
632    -6    2    -18    1      1      1
633    -5    2    -18    1      1      1
634    -4    2    -18    1      1      1
635    -3    2    -18    1      1      1
636    -2    2    -18    1      1      1
637    -1    2    -18    1      1      1
638    0    2    -18    1      1      1
639    1    2    -18    1      1      1
640    2    2    -18    1      1      1
641    3    2    -18    1      1      1
642    4    2    -18    1      1      1
643    5    2    -18    1      1      1
644    6    2    -18    1      1      1
645    7    2    -18    1      1      1
646    8    2    -18    1      1      1
647    -8    3    -18    1      1      1
648    -7    3    -18    1      1      1
649    -6    3    -18    1      1      1
650    -5    3    -18    1      1      1
651    -4    3    -18    1      1      1
652    -3    3    -18    1      1      1
653    -2    3    -18    1      1      1
654    -1    3    -18    1      1      1
655    0    3    -18    1      1      1
656    1    3    -18    1      1      1
657    2    3    -18    1      1      1
658    3    3    -18    1      1      1
659    4    3    -18    1      1      1
660    5    3    -18    1      1      1
661    6    3    -18    1      1      1
662    7    3    -18    1      1      1
663    8    3    -18    1      1      1
664    -8    4    -18    1      1      1
665    -7    4    -18    1      1      1
666    -6    4    -18    1      1      1
667    -5    4    -18    1      1      1
668    -4    4    -18    1      1      1
669    -3    4    -18    1      1      1
670    -2    4    -18    1      1      1
671    -1    4    -18    1      1      1
672    0    4    -18    1      1      1
673    1    4    -18    1      1      1
674    2    4    -18    1      1      1
675    3    4    -18    1      1      1
676    4    4    -18    1      1      1
677    5    4    -18    1      1      1
678    6    4    -18    1      1      1
679    7    4    -18    1      1      1
680    8    4    -18    1      1      1
681    -8    5    -18    1      1      1
682    -7    5    -18    1      1      1
683    -6    5    -18    1      1      1
684    -5    5    -18    1      1      1
685    -4    5    -18    1      1      1
686    -3    5    -18    1      1      1
687    -2    5    -18    1      1      1
688    -1    5    -18    1      1      1
689    0    5    -18    1      1      1
690    1    5    -18    1      1      1
691    2    5    -18    1      1      1
692    3    5    -18    1      1      1
693    4    5    -18    1      1      1
694    5    5    -18    1      1      1
695    6    5    -18    1      1      1
696    7    5    -18    1      1      1
697    8    5    -18    1      1      1
698    -8    6    -18    1      1      1
699    -7    6    -18    1      1      1
700    -6    6    -18    1      1      1
701    -5    6    -18    1      1      1
702    -4    6    -18    1      1      1
703    -3    6    -18    1      1      1
704    -2    6    -18    1      1      1
705    -1    6    -18    1      1      1
706    0    6    -18    1      1      1
707    1    6    -18    1      1      1
708    2    6    -18    1      1      1
709    3    6    -18    1      1      1
710    4    6    -18    1      1      1
711    5    6    -18    1      1      1
712    6    6    -18    1      1      1
713    7    6    -18    1      1      1
714    8    6    -18    1      1      1
715    -8    7    -18    1      1      1
716    -7    7    -18    1      1      1
717    -6    7    -18    1      1      1
718    -5    7    -18    1      1      1
719    -4    7    -18    1      1      1
720    -3    7    -18    1      1      1
721    -2    7    -18    1      1      1
722    -1    7    -18    1      1      1
723    0    7    -18    1      1      1
724    1    7    -18    1      1      1
725    2    7    -18    1      1      1
726    3    7    -18    1      1      1
727    4    7    -18    1      1      1
728    5    7    -18    1      1      1
729    6    7    -18    1      1      1
730    7    7    -18    1      1      1
731    8    7    -18    1      1      1
732    -8    8    -18    1      1      1
733    -7    8    -18    1      1      1
734    -6    8    -18    1      1      1
735    -5    8    -18    1      1      1
736    -4    8    -18    1      1      1
737    -3    8    -18    1      1      1
738    -2    8    -18    1      1      1
739    -1    8    -18    1      1      1
740    0    8    -18    1      1      1
741    1    8    -18    1      1      1
742    2    8    -18    1      1      1
743    3    8    -18    1      1      1
744    4    8    -18    1      1      1
745    5    8    -18    1      1      1
746    6    8    -18    1      1      1
747    7    8    -18    1      1      1
